Topic ,Comment
Very good services,"A bank under the Government of abcd, abc bank. People who pay low interest and long repayment and provide various types of loans, term loans and investment can open an account for the first time, and I would enjoy doing abc bank.I finished the day with the procedures in the open. Used by the atm card and withdraw money from the account would not be able to perform online transactions ."
Wake up customer care service people.,"Uptil now I was in a false claim that abc bank is better than other banks in its services but, I was totally wrong.My experience with bank is wrost and horrible.Guys abc bank customer care numbers 1800 102 1111 and 1800 22 1111 if you ard abc bank customers try to call on these numbers all the time they are busy and no one pick up the call.I have been trying for more than two days and no one is answering.If some is having urgent need of money and unfortunately if don`t get response from this so called abc bank who will take responsibilty of his concerns.I know abc bank have large customer base but this not the excuse you can give all the time.If someone want to open abc bank account do take note above things.Thank you."
Unecessary charges,"Hi,

I am the account holder of abc bank from past 3 years. abc bank deducts the charges which has to be free like SMS charges,Cash deposit charges. abc bank doesn't have proper customer charges.I calculated the amount which abc bank charged me is more than 2000 from past 3 years. There is no dedicated line to contact them due to high call flow. abc bank is one the biggest bank of abcd so it should take of their customers."
abc bank,abc bank all employees is very very good service provided to all us. My last 4 years accounts in this bank. My banking all usse whatever problem Very help all abc bank employees. My all friends circle and my all family members savings accounts for these banks because is a bang really helpfully people's that's any personal problems creating. My trajectories and my banking problems and also not working atm cards I am my banking employer because hi is currently customer support banker. So my dear all friends you're joining the abcdns great employee bank Really nice people abc bank.
abc bank SLOW WORKING BANK,abc bank is a good and trusted bank among all other bank. It is fully controlled by Govt of abcd. The salary of abc bank employee is very good. The dealings with customer comparing other banks are very poor.Due to this factor now the customer are going to private bank.there is more for processing time in abc bank comparing to others bank. Due to this type waste of time there are huge mass not intrested to go with abc bank. In this era time is money or money is time.My advice to govt plz moniter all the working of govt organisation including man. By proper monitering efficient work and good dealings with customer there must be increase in banking business for abc bank.
Slowest and non productive bank,"OMG one of the biggest mistake of my life, I opened a savings account when I was minor now when I turned major they took about 11months to issue my ATM card.ok alright than they took about 1month to activate my account.I have worst branch of abc bank were there are 5 cashiers counter but only 1 of them counter is opened and all are closed since I was 17years old( now I m 21) .Simply go to IDBI or ICICI.

"
INTERNET banking,I think abc bank is good all about like saving current account provide intrest rate very good by 1 thing is very bad as compare to other bank in netbanking section because for net banking visit abc bank and submit to bank and other bank as online we can use netbanking without any paper work . That over all good services are very good. abc bank has to improve less paper work and digitalize .
Smart bank,abc bank is very nice bank.there are many branches in all over abcd that why this bank is so popular .all the employees of this bank is so smart.w e can easily transfer money with net banking at anywhere 24?7hour.this bank is a part of goverment bank.this bank gives a intrest on bank money to consumer.this intrest is big comparing to the other banks intrest.we can also easily approved our home loan .business loan and other student loan with low intrest.so thats ehy we can easily say that this bank is smart bank
abcd's most trusted bank,The government is making people about the financial institutions to meet their financial needs. abc bank stands for abc bank it is d only bank which has d reputation of most trusted and valued banks among all by the government of abcd.it has branches in almost allmost over in abcd . The apps of abc bank make people use this banks facility at its exent. I m a user of abc bank nd I m mesmerized with its facilities thnq.
Esteemed Banking Services?,"It is always been a privilege to say that I worked in abc bank. As far as the brand name is considered it is the best of all the banks . Incentives and other allowances are the best of all other banks . Bank staff is cooperative and a boon to learn a lot about banking, particularly General banking. But when it comes to work load, it is always full of customers and no chance of taking rest in between. once you started the BOD you have to work without any exception till they work is completed at the evening. Quite hectic wotk but satisfied as I am delivering services to the public. proud of abc bank"
abc bank,abc bank means abc bank has earnd a great name in the field of Banking by theire ways of quality of works and skilled laboure who worked also there fundamental rights and securities provided by him is soo far and too good welll hear I would like to say that nice banking facilities providing it is in the name of banking finalising thankiyou.
Saving account,My name is bankim barot. I had been banking with abc bank for the last 2 years for a saving account. They provide excellent services. I hardly visit bank. They also provide convenient online services. It is fast when it comes to transactions and smooth well. Good services bank of abcd. Happy to be part of it.good
abc bank service is awsome.,"Hello friends.

today I am discussing sata bank of abcd servic.

this bank service is too good friends compair with another bank service.

some days ago I am open a account in this bank.really guys abc bank staff is very good guys.

abc bank staff work is very good. in this bank my account hurry to open.

this bank ATM card service is too good guys. with this atm card easy to sopping online and offline.

I am very impress with this bank work. its good bank guys. customer service is very good friends.

"
Unsatisfactory support by abc bank,"Hi friends, I am using this abc bank from last 5 years and salary and benefits of the abc bank customers is more and the job security is also more because it is a government bank, and the job holders don't help the customers of the bank in a proper manner, and the customers struggles a lot in bank. The career growth is more for the government job holders and they are arrogant and they are not at all patient in explaining details to the customers.

The work environment is luxury and don't work in a proper manner, and private banks works in a better than these banks, and CEO rating is high

abc bank has high number of employees, many awards and recognitions are given to the abc bank for its performance and apps came to existence for easy transaction, and the apps like abc bank Buddy came to know the amount of their account and to pay the electricity bill and other bills easily"
Best bank in abcd....,"Hi friends I am a customer of this bank since last 6 years.I have a saving account in this bank and I like the services of bank provide to their customers. I uses Net banking ATM cum Debit card mobile banking sms alert service Green challan counter and many other servieces.One of good thing of this bank that their staff is very good. If you are a new in banking sector and u want a account open then I recommend this bank.

"
abc bank,abcds biggest and smart branch. Easy way for money transactions and withdrawals are done by abc bank. In today our financial crisis are over come by the big support of the bank abc bank. In every particular tows the abc bank atm centers are available. I think for bigger money transactions are in all around the country is done by abc bank
Almost excellent service,"According to me it is the only bank in market with large no. of transactions every day and also its other services such as mobile banking , internet banking is good because of its some applications on playstore such as abc bank freedom and ebuddy etc. Staff of this bank is cooperative and do their every effort to satisfy their customers.also salary to abc bank employees is excellent

"
"abcd,s Biggest Bank and Branch","abc bank of abcd is a largest bank of abcd and salry is so good and bank employer is very tallentet and active to his work poperly

abc bank is gov bank of abcd so security question is no essu becasuse salry proved by goverment by all abc bank

Carer grouth is very good.strenth, and sequare for other pravite bank

Work is very smoothly and neat and clean every bank empolyer do the best for his work and very carefully do his work

Bank rating is every time top of the other bank in abcd

"
Bad Experience at Demonitization,abc bank is very much popular bank in market. But here I am sharing my one of very bad experience with it at the time of demonitization when currency gets to be exchanged. I was also go for the exchange my 500 rupees note. I was daily go for it but there are so many people in the que and I was waiting for my turn. Everyday I was failed to exchange my note. It feels very bad at that time as que was countless and currency was limited in banks. Finally I entered in bank and there found also another que. It is very bad experience for me.
"abcd""s largest bank",No doubt the abc bank is the largest bank of abcd.after rbi if any bank is known is abc bank.it gives good salary to their employees like all benifits also.gives good HRA AND DRA ALSO.JOB IS 99%SECURE IN THIS BANK 99 IS WHY BECUASE OF ANY MISCONDUCT .CAREER CAN BE BOOM IN THIS BANK A GOOD PERSON WITH GOOD QUALIFICATION CAN BE AAT VERY HIGH POST IN FUTURE WORKING ENVIROMENT IS NOT SO GOOD IN THIS BANK HEAVEY RUSH OF CUSTOMER AND ALSO NOT HAVING GOODENVIOROMENT WITH OTHER PEOPLES AND EMPLOYEES OF BANK.SERVICE GIVEN BY THEM NOT GOOD.CUSTOMER DEALING IS NOT GOOD BY EMPLOYEES.CEO CAN BE 2 OUT OF 3.
A People-friendly bank called abc bank,"abc bank is a central public-sector bank which is extremely people-friendly in its approach towards its customers and the general public in its banking activities and also in its CSR(Corporate Social Responsibilities). The present Managing Director of the bank is Arundathi Bhattacharya. The bank has many products tailored to meet the needs and specifications of individuals, corporates, trusts, senior citizens and women. The Bank's popular products include abc bank Buddy and abc bank Hope Loans,which are primarily home loans dedicated fully for the Home Loan Segment. At present, in case of Housing Loans,the bank offers only floating rate home loans which are flexible and accomodative to all segments of home loan borrowers. There is a special cell created for opening of 0 Balance SB Accounts in abc bank. There is a seperate green channel counter for persons desirous of withdrawing more money from their SB accounts.abc bank offers an excellent pay package which is comparable with the best in the industry and offers good job security, constant career growth and an extremely cordial work environment."
Best ever bank,"Best ever bank in abcd with number of branches as well as lots of atm machines all over abcd but due to bank is under govt sector public dealing is very poor in many branches, but in some branches public dealing is good , net banking is also good enough but not as good as private sector banking, though I love to bank with abc bank because there my money secure, I love this bank and advise every one in abcd to bank with abc bank. If every branches work with full force then none other bamk will stand in front of this bank"
Account not transferred after many tries,"I am having a account in abc bank Bhubaneswar since April 2011. I was in Bhubaneswar for several years but now I moved on to Bangalore. Now the problem I am facing is I want to have my account transferred to Bangalore. I applied several times in abc bank Bangalore , filled the form and handed it over to abc bank. But even after 3-4 times my account didn't get transferred to Bangalore. They said the sign mismatched( as it is a very old and my first account and also I didn't have cheque book facility, so I didn't often used sign on that account) . I am showing all my original documents over here in Bangalore abc bank to take a look at my signature which I used to open the account but I didn't get to see it. They asked me to fly to home branch and apply for transfer from Bhubaneswar but as I am working as an intern I am not liable for any holidays. I asked to close the account and again I got the same reply that you can close the account from Bhubaneswar . Now what should I do. I don't have enough money for flight nor can I afford any leave. The employees are not cooperating at all. Recently I also transferred my ICICI Bank account and without any problem I got to see the signature as well as got the account transferred within 15 days. abc bank lost my faith in them. They should do something to figure this out ."
Review on abc bank (abc bank).,"abc bank( abc bank) is the most gorwing bank in abcd.This bank is doing a great job by employing many employess .i like thia bank because they are bileaveable.coming to its salary and benifites , there are many benifites in this job like abc bank tours , health insurences, and many more.Iam also a member of abc bank there are scheems.There is also job security like GPF and many more.next coming to career growth they are many posts in this abc bank. Also promotoins in this job.next coming to work environment its all good . The only qualification for getting employed only having secondary education and computer education.next atlast coming to CEO rating its 5/5. It belive it.if you belive it, comment some important features of abc bank."
abc bankn well service,"abc bank is the biggest bank in abcd with 13000 branches abc bank provide netbanking phone banking and other options I have a I have a bank account in abc bank last 7 years abc bank employees are well trained and well cultured they give us best service abc bank helpline Service also very good I have a very good experience with abc bank

I have a to bank account in abc bank NSB I never trouble with me

I am happy with abc bank and I suggest you choose abc bank account

"
abc bank,"abcdn one of the best and largest bank of abcd was abc bank.I have an abc bank customer for more than 3 year's.IN Barrackpore abc bank customer service was so good and better than other bank's, they can solve your problem as soon as possibile.1 week ago I faced a problem with abc bank from my a/c transfer to minor to major.But, when I written a letter to the Bank manager of abc bank about transfer my a/c minor to major they solve my problem immediately. Internet banking is also good of the bank.I really happy with this Bank, with good customer services."
Best service.easy step for net banking,"Faster than faster bank.

best service and fast service .no time weast.transfer money deposit money and widhraw money fast.goverment bank that give much salary.benefits is that is goverment bank never ban.job security becase never off .

most people like abc bank and for job and for future.

loan are are so simply.few% loan.best for job and for account.good for all.ceo rating is lowest but good .

abc bank branch are avilablein all state and all city.

abcds biggest bank."
Customer is not satisfied with abc bank me also,"Hello dear all customer of abc bank

abc bank is not given perfect service with all customer all abc bank employee is not know customer is god and many employees are very bad and very very lazy people, He was not support to customer PPF account opening form how to fill form and which document are need to complete this process and abc bank give a Lots of offers and scheme are given in year bus it's no to reached to customer and every employee is getting profit he was not inform to people because he is not want to do work very lazy abc bank employye.

"
